Year,Company Name,Country,Industry (Exiobase),Total Environmental Intensity (Revenue),Total Environmental Intensity (Operating Income),Total Environmental Cost,Working Capacity,Fish Production Capacity,Crop Production Capacity,Meat Production Capacity,Biodiversity,Abiotic Resources,Water production capacity ,Wood Production Capacity,% Imputed
2015,ALFA SAB DE CV,Mexico,Activities of membership organisation n.e.c. (91),7.29%,84.37%,1091225390,1121094449,267341,14901471,3495634,47488,2774,48564442,19325,0%
2015,SIME DARBY BERHAD,Malaysia,Activities of membership organisation n.e.c. (91),9.20%,174.77%,936175566,900532759,198788,11019393,2582574,35160,2157704,19592298,56891,11%
2015,TOSHIBA CORPORATION,Japan,Activities of membership organisation n.e.c. (91),1.68%,65.53%,928683847,897669753,219487,11917035,2795869,38499,129386,15941287,27469,4%
2015,SIEMENS AG,Germany,Activities of membership organisation n.e.c. (91),0.81%,9.52%,667721111,635151730,149496,8357114,1949049,26402,515946,21571864,490,2%
2015,FAR EASTERN NEW CENTURY CORPORATION,Taiwan,Activities of membership organisation n.e.c. (91),8.97%,134.77%,593116040,580000556,146898,7702986,1801721,25539,307517,3167949,37127,2%
2015,ABOITIZ EQUITY VENTURES INC.,Philippines,Activities of membership organisation n.e.c. (91),21.80%,88.45%,516828370,504348387,113671,6484602,1520089,20451,502721,3825194,13255,5%
2015,AYALA CORPORATION,Philippines,Activities of membership organisation n.e.c. (91),13.10%,67.19%,509133509,492757820,109957,6188011,1450422,19623,823744,7762213,21719,9%
2015,REMGRO LIMITED,South Africa,Activities of membership organisation n.e.c. (91),22.35%,366.14%,369310624,268201717,60581,3513726,820209,10994,208434,96491634,3329,2%
2015,RHEINMETALL AG,Germany,Activities of membership organisation n.e.c. (91),4.09%,141.35%,230285901,221644442,51729,2946040,689426,9313,35355,4912085,2489,1%
2015,NISSHINBO HOLDINGS INCORPORATED,Japan,Activities of membership organisation n.e.c. (91),5.03%,191.74%,219112843,213387050,52422,2841624,665597,9203,10181,2154860,8095,0%
2015,HOSKEN CONSOLIDATED INVESTMENTS LIMITED,South Africa,Activities of membership organisation n.e.c. (91),19.26%,105.23%,214699859,130001628,29222,1693044,394518,5297,140611,82433293,2246,3%
2015,KAP INDUSTRIAL HOLDINGS LTD,South Africa,Activities of membership organisation n.e.c. (91),20.54%,254.97%,207788712,203213944,46012,2670072,623803,8355,127585,1096904,2038,3%
2015,SAMSUNG C&T CORP,South Korea,Activities of membership organisation n.e.c. (91),0.98%,320.97%,111315623,108811712,27853,1436958,336256,4775,113173,591248,6352,5%
2015,ALLIED ELECTRONICS CORPORATION LIMITED,South Africa,Activities of membership organisation n.e.c. (91),4.01%,118.88%,57193632,52234999,11296,648735,149009,2029,179893,3964798,2873,13%
2015,DOOSAN CORP,South Korea,Activities of membership organisation n.e.c. (91),0.32%,0,51880760,50640416,13019,647767,151144,2127,160799,265793,306,3%
2015,JOHN KEELLS HOLDINGS LIMITED,Sri Lanka,Activities of membership organisation n.e.c. (91),5.13%,52.26%,32592128,29311344,6257,330120,77340,1075,134574,2727870,3548,19%
2015,SMITHS GROUP PLC,United Kingdom,Activities of membership organisation n.e.c. (91),0.69%,4.25%,29471768,28557576,6839,380083,88975,1216,4390,433403,713,3%
2015,REUNERT LTD,South Africa,Activities of membership organisation n.e.c. (91),3.94%,28.77%,21104402,18175650,3912,224453,51463,702,67605,2579538,1080,13%
2015,EURAZEO SE,France,Activities of membership organisation n.e.c. (91),0.29%,5.91%,6328313,4984105,1146,69690,14996,210,1736,1256716,286,7%
2015,DELTA AIR LINES INC,United States,Air transport (62),27.12%,120.81%,11039525816,10803569658,2459251,140583814,32845917,448441,1910407,57756931,48602,5%
2015,UNITED CONTINENTAL HOLDINGS INCORPORATED,United States,Air transport (62),26.86%,185.17%,10169511774,9939646664,2378459,130522805,30186405,426208,1777114,65021529,447411,6%
2015,SOUTHWEST AIRLINES CO.,United States,Air transport (62),31.45%,150.04%,6234254557,6100547704,1378965,80013883,18544598,252369,930234,32609279,22476,5%
2015,DEUTSCHE LUFTHANSA AG,Germany,Air transport (62),14.37%,559.80%,5003967805,4891053406,2446969,69747535,16131629,360757,81790,28352760,4207040,6%
2015,ANA HOLDINGS INC,Japan,Air transport (62),21.55%,403.35%,3070031679,3003522660,763310,40035144,9342049,134190,64595,16425773,256042,2%
2015,CATHAY PACIFIC AIRWAYS LTD,Hong Kong,Air transport (62),20.62%,316.73%,2723609628,2406976311,1480832,35638427,8264160,210819,73,273972948,2933942,1%
2015,KOREAN AIR LINES COMPANY LIMITED,South Korea,Air transport (62),20.18%,277.20%,1980855590,1933594039,1137652,27695240,6396066,160798,313817,13691711,2133732,7%
2015,GRUPO AEROPORTUARIO DEL PACIFICO SAB DE CV,Mexico,Air transport (62),421.69%,891.65%,1980244529,25260735,5329,293385,70210,271,0,2005898425,35166,2%
2015,EVA AIRWAYS CORP,Taiwan,Air transport (62),42.49%,633.11%,1767312598,1728833585,402241,22874539,5318106,73124,50650,9806029,45677,3%
2015,ALASKA AIR GROUP INCORPORATED,United States,Air transport (62),27.64%,114.17%,1547020517,1513076361,362398,19876045,4598762,64888,262737,8846967,67641,6%
2015,SAS AB,Sweden,Air transport (62),16.69%,400.05%,784950223,767152354,336390,10836032,2524742,51066,  ,4556904,507265,1%
2015,CONTROLADORA VUELA COMPANIA DE AVIACION SA DE CV,Mexico,Air transport (62),38.05%,298.41%,400648896,391754838,114495,5305679,1240703,19271,0,2292770,78860,14%
2015,BEIJING CAPITAL INTERNATIONAL AIRPORT COMPANY LTD,China,Air transport (62),7.79%,23.46%,100582358,86053230,19957,1136614,262699,3658,7,13109518,3325,4%
2015,SINOTRANS LTD,China,Air transport (62),0.78%,27.96%,50982338,49883354,12185,658038,154670,2092,  ,271999,  ,0%
2015,KOEBENHAVNS LUFTHAVNE AS,Denmark,Air transport (62),2.64%,6.73%,15624280,22845275,5910,280917,68171,299,7775,7589430,33331,17%
2015,FEDEX CORPORATION,United States,Air transport (62),11.05%,244.66%,5243098671,5138158414,2032693,59305304,14553726,155147,2227165,25664597,9831636,11%
2015,AIR LIQUIDE,France,Chemicals nec,44.64%,271.09%,7941325527,7690023679,1809508,102090389,23941728,323784,724415,122500535,88510,0%
2015,LINDE PLC,United Kingdom,Chemicals nec,60.98%,266.92%,6571530664,6394823679,1477766,85058201,19936078,267901,222474,69791784,47219,0%
2015,WANHUA CHEMICAL GROUP CO LTD,China,Chemicals nec,129.07%,687.13%,3873590796,3372386771,861186,44140012,10350749,144341,3158674,442628898,79835,7%
2015,KIMBERLYCLARK CORPORATION,United States,Chemicals nec,11.22%,129.31%,2085848437,1496473702,362770,20199485,4541876,63739,990036,563280878,64049,4%
2015,PROCTER & GAMBLE CO,United States,Chemicals nec,2.18%,11.18%,1663301709,1220567511,477728,17028958,3235808,62381,4062126,418235790,368593,14%
2015,TOKUYAMA CORPORATION,Japan,Chemicals nec,64.40%,996.09%,1617528085,1555954294,442474,21063010,4892227,74724,326864,35042719,268228,1%
2015,SHINETSU CHEMICAL CO LIMITED,Japan,Chemicals nec,13.95%,94.49%,1456101322,1411857466,329637,18561467,4349406,59201,1358533,19599045,13433,2%
2015,AKZO NOBEL N.V.,Netherlands,Chemicals nec,8.02%,81.51%,1294397260,1139913238,293638,14810605,3449710,48753,1882882,134030346,31912,4%
2015,WACKER CHEMIE AG,Germany,Chemicals nec,21.54%,309.83%,1239047600,771355296,228227,9819217,2311277,34201,1904788,453433606,39014,2%
2015,TAIYO NIPPON SANSO CORPORATION,Japan,Chemicals nec,23.41%,370.73%,1088744963,1064662561,258964,14213158,3258855,45156,605257,5730441,29429,2%
2015,AIR WATER INCORPORATED,Japan,Chemicals nec,10.52%,192.31%,577660744,515266867,119944,6959502,1540351,21500,714724,53052960,15104,8%
2015,UNILEVER PLC,United Kingdom,Chemicals nec,1.37%,9.29%,573849376,523215317,160827,7317406,1406833,22968,863998,40923701,61675,4%
2015,"PPG INDUSTRIES,INC.",United States,Chemicals nec,3.06%,22.53%,468333930,420572253,167056,5692371,1312422,25012,816377,39947579,199141,5%
2015,KONINKLIJKE DSM N.V.,Netherlands,Chemicals nec,4.97%,75.45%,417140195,361211738,82089,4719575,1075220,14832,978506,49059922,1686,7%
2015,JSR CORPORATION,Japan,Chemicals nec,11.79%,125.15%,396142980,298403909,69986,3915206,911447,12545,437218,92397536,4867,3%
2015,NIPPON SHOKUBAI COMPANY LIMITED,Japan,Chemicals nec,12.34%,179.13%,384631742,371012689,81833,4992000,1118088,15100,405623,7005825,585,7%
2015,KAO CORP,Japan,Chemicals nec,3.02%,27.05%,369693661,348213240,81087,4355612,1020181,14307,1592519,14414141,2573,11%
2015,KRATON CORP,United States,Chemicals nec,33.04%,837.62%,341798908,217388661,65434,2854214,667380,9955,55097,120778076,19910,0%
2015,ALBEMARLE CORPORATION,United States,Chemicals nec,8.43%,52.93%,307919878,273236874,71992,3672052,824687,11927,194446,29925543,17644,5%
2015,MINERALS TECHNOLOGIES INC.,United States,Chemicals nec,16.99%,118.69%,305401173,166552584,42769,2233847,505890,7205,95729,135971836,8686,2%
2015,CLARIANT AG,Switzerland,Chemicals nec,4.65%,52.02%,269829965,244379221,63011,3242828,759056,10809,6225,21385130,16315,1%
2015,COLGATEPALMOLIVE CO.,United States,Chemicals nec,1.64%,6.60%,262787486,207368307,47810,2582773,604344,8374,853867,51316555,5456,10%
2015,HITACHI CHEMICAL CO LTD,Japan,Chemicals nec,5.35%,87.35%,233212295,225444033,50871,2911824,676101,9183,567590,3549173,3520,6%
2015,NITTO DENKO CORPORATION,Japan,Chemicals nec,3.15%,25.83%,216473074,204782108,76312,2548495,592953,10357,892936,7613331,43417,18%
2015,DIC CORPORATION,Japan,Chemicals nec,2.87%,46.09%,195692084,173912650,62478,2391417,453089,8474,887262,18019855,43141,12%
2014,THOMSON REUTERS CORP,Canada,Activities auxiliary to financial intermediation (67),0.94%,7.32%,131304234,117516267,31645,1579721,370012,5443,444718,11370995,14567,3%
2014,RECRUIT HOLDINGS CO LTD,Japan,Activities auxiliary to financial intermediation (67),1.31%,13.24%,129832344,127009872,29785,1689732,396015,5360,7148,696357,1926,2%
2014,INTERTEK GROUP PLC,United Kingdom,Activities auxiliary to financial intermediation (67),1.95%,13.43%,63597145,62215361,14387,827343,193960,2604,2797,341066,373,1%
2014,TELEPERFORMANCE SE,France,Activities auxiliary to financial intermediation (67),1.03%,12.29%,34214197,30554492,7192,406674,95278,1295,2178,3147709,620,2%
2014,ADECCO GROUP AG,Switzerland,Activities auxiliary to financial intermediation (67),0.10%,2.06%,27999007,26114658,6594,343998,79938,1162,13378,1441471,2191,1%
2014,ZURICH INSURANCE GROUP LIMITED,Switzerland,Activities auxiliary to financial intermediation (67),0.04%,0.40%,27655233,24147319,6938,313595,71901,1175,30465,3088830,4990,2%
2014,BUREAU VERITAS SA,France,Activities auxiliary to financial intermediation (67),0.53%,3.94%,26698172,26115966,6282,347802,81441,1122,3294,143203,938,3%
2014,CAPITA PLC,United Kingdom,Activities auxiliary to financial intermediation (67),0.38%,3.83%,25700719,25138344,6082,334122,78317,1077,5843,137713,780,3%
2014,RANDSTAD NV,Netherlands,Activities auxiliary to financial intermediation (67),0.10%,3.35%,20953443,20125445,6007,263973,61178,996,21272,478976,4404,12%
2014,RELX PLC,United Kingdom,Activities auxiliary to financial intermediation (67),0.23%,0.95%,20339960,19146359,4819,254364,59613,837,7715,867283,1030,3%
2014,EXPERIAN PLC,United Kingdom,Activities auxiliary to financial intermediation (67),0.34%,1.39%,16406914,16048858,3818,213351,50012,682,2597,87942,347,2%
2014,STANTEC INCORPORATED,Canada,Activities auxiliary to financial intermediation (67),0.87%,7.89%,15632625,13889488,3789,186881,43769,649,57076,1452842,1870,3%
2014,WOLTERS KLUWER NV,Netherlands,Activities auxiliary to financial intermediation (67),0.24%,1.52%,10564324,10013240,2588,132390,30888,450,4513,381189,934,6%
2014,LONDON STOCK EXCHANGE GROUP PLC,United Kingdom,Activities auxiliary to financial intermediation (67),0.35%,1.31%,7509621,7345169,1786,97622,22882,315,1860,40235,248,3%
2014,IHS MARKIT LTD,United Kingdom,Activities auxiliary to financial intermediation (67),0.68%,2.25%,7239213,6898573,1630,91716,21500,292,913,224711,122,2%
2014,HONG KONG EXCHANGES AND CLEARING LIMITED,Hong Kong,Activities auxiliary to financial intermediation (67),0.51%,0.83%,6033463,5901856,1432,77993,18269,252,1697,32124,160,3%
2014,RICARDO PLC,United Kingdom,Activities auxiliary to financial intermediation (67),1.44%,13.74%,5291228,5176195,1202,68830,16136,217,316,28374,42,1%
2014,HELVETIA HOLDING AG,Switzerland,Activities auxiliary to financial intermediation (67),0.05%,0.94%,4745452,4563766,1235,59674,13771,213,4125,103344,676,6%
2014,BALOISE HOLDING AG,Switzerland,Activities auxiliary to financial intermediation (67),0.04%,0.46%,4175565,4051406,1141,52737,12118,194,4618,54106,756,7%
2014,ASX LIMITED,Australia,Activities auxiliary to financial intermediation (67),0.61%,0.91%,4022589,3934352,950,52203,12215,168,1346,21479,123,3%
2014,HAYS PLC,United Kingdom,Activities auxiliary to financial intermediation (67),0.05%,1.29%,2818377,2753104,910,36439,8529,140,4916,14995,656,17%
2014,JSE LIMITED,South Africa,Activities auxiliary to financial intermediation (67),1.81%,0,2799920,2738632,625,36312,8499,114,788,14945,6,1%
2014,DEUTSCHE BOERSE AG,Germany,Activities auxiliary to financial intermediation (67),0.07%,0.18%,2022307,1963688,444,25615,5991,81,4167,22310,11,4%
2014,"ICF INTERNATIONAL,INC.",United States,Activities auxiliary to financial intermediation (67),0.18%,2.68%,1857256,1816453,544,24188,5650,90,784,9932,383,14%
2014,BURSA MALAYSIA BHD,Malaysia,Activities auxiliary to financial intermediation (67),1.30%,2.56%,1754926,1717136,404,22575,5288,72,175,9297,21,1%
2014,PAGEGROUP PLC,United Kingdom,Activities auxiliary to financial intermediation (67),0.11%,1.42%,1731692,1692952,467,22466,5263,78,1399,9254,187,10%
2014,B3 SA BRASIL BOLSA BALCAO,Brazil,Activities auxiliary to financial intermediation (67),0.16%,0.26%,1196849,1171623,256,14831,3477,47,450,6113,54,8%
2014,STHREE PLC,United Kingdom,Activities auxiliary to financial intermediation (67),0.09%,2.27%,1051507,1027858,292,13634,3194,48,998,5615,133,11%
2014,JAPAN EXCHANGE GROUP INC,Japan,Activities auxiliary to financial intermediation (67),0.08%,0.18%,785800,768131,248,10269,2394,39,697,4209,188,17%
2014,ROBERT WALTERS PLC,United Kingdom,Activities auxiliary to financial intermediation (67),0.07%,2.54%,720837,704436,213,9336,2186,34,908,3844,121,14%
2014,MCMILLAN SHAKESPEARE LTD,Australia,Activities auxiliary to financial intermediation (67),0.24%,0.92%,684434,669164,175,8847,2064,30,579,3629,53,6%
2014,BOLSAS Y MERCADOS ESPANOLES SHMSF SA,Spain,Activities auxiliary to financial intermediation (67),0.17%,0.25%,673866,659158,215,8385,1969,32,758,3463,114,15%
2014,BOLSA MEXICANA DE VALORES SAB DE CV,Mexico,Activities auxiliary to financial intermediation (67),0.35%,0.96%,532235,520677,121,6927,1624,22,14,2855,4,1%
2014,MYTILINEOS HOLDINGS S.A.,Greece,Activities of membership organisation n.e.c. (91),423.74%,3081.75%,6321176384,1114635550,282211,14721582,3460781,47718,461,5188052859,24778,0%
2014,SEMBCORP INDUSTRIES LIMITED,Singapore,Activities of membership organisation n.e.c. (91),33.13%,341.85%,2724308229,1739883059,421499,22543521,5283325,74040,1581951,954566448,45614,3%
2014,3M COMPANY,United States,Activities of membership organisation n.e.c. (91),6.61%,29.45%,2104131572,2058467868,470917,27461184,6389817,85726,28943,11235993,8875,0%
2014,HONEYWELL INTERNATIONAL INCORPORATED,United States,Activities of membership organisation n.e.c. (91),4.49%,31.09%,1810206808,1770981275,409185,23513450,5511634,74119,36660,9691727,11242,0%
2014,GENERAL ELECTRIC COMPANY,United States,Activities of membership organisation n.e.c. (91),1.05%,6.21%,1556673946,1523048918,363650,20109342,4710799,64888,134441,8283133,41225,2%
2014,ALFA SAB DE CV,Mexico,Activities of membership organisation n.e.c. (91),7.89%,105.76%,1227096270,1134566329,261761,15097231,3539401,47485,2496,73588463,6896,0%
2014,TOSHIBA CORPORATION,Japan,Activities of membership organisation n.e.c. (91),1.57%,35.11%,851293129,821954097,200322,10912868,2560189,35200,112538,15541808,23892,3%
2014,SIEMENS AG,Germany,Activities of membership organisation n.e.c. (91),0.85%,10.00%,738978873,681978067,160265,8985698,2095717,28375,501772,45230212,1233,2%
2014,FAR EASTERN NEW CENTURY CORPORATION,Taiwan,Activities of membership organisation n.e.c. (91),8.12%,161.06%,604859881,591504296,147648,7836508,1832571,25675,318528,3222300,27644,2%
2014,ABOITIZ EQUITY VENTURES INC.,Philippines,Activities of membership organisation n.e.c. (91),11.59%,51.88%,284274706,277215490,61831,3477497,815095,11030,471877,2209443,12442,8%
2014,AYALA CORPORATION,Philippines,Activities of membership organisation n.e.c. (91),7.59%,40.58%,274323413,246016269,53957,2963565,694512,9492,694982,23872312,18324,12%
2014,KAP INDUSTRIAL HOLDINGS LTD,South Africa,Activities of membership organisation n.e.c. (91),17.80%,270.38%,227120511,222114817,50255,2915861,681053,9124,149442,1197572,2387,3%
2014,NISSHINBO HOLDINGS INCORPORATED,Japan,Activities of membership organisation n.e.c. (91),5.14%,191.47%,211865575,205447293,51902,2736094,640896,8974,8556,2982365,10505,0%
2014,HOSKEN CONSOLIDATED INVESTMENTS LIMITED,South Africa,Activities of membership organisation n.e.c. (91),24.72%,188.69%,196808259,99148683,22337,1294817,301967,4051,93237,95941678,1489,2%
2014,REMGRO LIMITED,South Africa,Activities of membership organisation n.e.c. (91),8.19%,300.82%,174361930,310865518,70190,4070649,950074,12737,249486,141860708,3984,6%
2014,SAMSUNG C&T CORP,South Korea,Activities of membership organisation n.e.c. (91),2.40%,57.71%,112804877,105127803,25185,1394235,326630,4470,43597,5885404,2447,2%
2014,AITKEN SPENCE & CO. LTD.,Sri Lanka,Activities of membership organisation n.e.c. (91),40.04%,275.50%,110191240,105952218,24054,1385636,324837,4353,52946,2445800,1396,2%
2014,EURAZEO SE,France,Activities of membership organisation n.e.c. (91),1.31%,18.02%,64595554,63181040,16049,853542,197221,2822,3620,346760,5501,1%
2014,ALLIED ELECTRONICS CORPORATION LIMITED,South Africa,Activities of membership organisation n.e.c. (91),2.63%,54.41%,63173468,57737481,12188,695972,158342,2176,281415,4281401,4494,18%
2014,JOHN KEELLS HOLDINGS LIMITED,Sri Lanka,Activities of membership organisation n.e.c. (91),4.70%,52.34%,31936423,28759264,6143,324418,76005,1056,130876,2635211,3451,19%
2014,SMITHS GROUP PLC,United Kingdom,Activities of membership organisation n.e.c. (91),0.68%,4.39%,31435300,30417979,7262,404823,94776,1293,4354,505519,708,2%
2014,DOOSAN CORP,South Korea,Activities of membership organisation n.e.c. (91),0.16%,3.44%,29792950,28616533,6624,362317,83447,1177,173962,549028,139,13%
2014,REUNERT LTD,South Africa,Activities of membership organisation n.e.c. (91),3.70%,30.30%,24879855,21345365,4597,263756,60486,825,78772,3124797,1258,13%
2014,SK HOLDINGS CO LTD,South Korea,Activities of membership organisation n.e.c. (91),0.36%,3.24%,8050765,7776386,2319,101565,23696,369,20619,126969,1157,12%
2014,HYUNDAI GLOVIS COMPANY LIMITED,South Korea,Air transport (62),1126.26%,24383.32%,1.44E+11,3182197223,297973,38891024,9261815,10802,377794,1.47E+11,3241592,2%
2014,UNITED CONTINENTAL HOLDINGS INCORPORATED,United States,Air transport (62),25.91%,357.97%,10080381908,9851661639,2359163,129482266,29968137,422600,1665980,65263423,441300,5%
2014,AIR FRANCE KLM SA,France,Air transport (62),28.56%,0,8617427884,8430770006,2083762,109586053,25680640,360277,1142467,48050641,245961,4%
2014,INTERNATIONAL CONSOLIDATED AIRLINES GROUP SA,United Kingdom,Air transport (62),32.88%,463.51%,8027379058,7852932594,1832843,104269130,24352858,331714,18422,43800085,158589,1%
2014,DEUTSCHE LUFTHANSA AG,Germany,Air transport (62),13.04%,1040.85%,4736476837,4629446483,2355797,66170545,15298604,346170,78737,26888004,4107502,6%
2014,CATHAY PACIFIC AIRWAYS LTD,Hong Kong,Air transport (62),21.28%,508.56%,2908742305,2610265080,1397969,37818614,8785283,203920,72,252799184,2527817,1%
2014,ANA HOLDINGS INC,Japan,Air transport (62),21.17%,547.92%,2826285873,2764995808,710169,36901460,8613146,124414,54906,15143976,258005,2%
2014,GRUPO AEROPORTUARIO DEL PACIFICO SAB DE CV,Mexico,Air transport (62),638.90%,1301.94%,2404332076,16893975,4464,192762,46262,288,0,2421486690,26367,1%
2014,CHINA AIRLINES LIMITED,Taiwan,Air transport (62),46.56%,2789.02%,2217887309,2169613087,505452,28738227,6690632,91761,53064,12249097,54010,3%
2014,KOREAN AIR LINES COMPANY LIMITED,South Korea,Air transport (62),17.93%,540.03%,1955556191,1909129469,1118173,27302520,6302625,158188,323188,13314709,2092681,7%
2014,EVA AIRWAYS CORP,Taiwan,Air transport (62),40.61%,2051.12%,1709507718,1672234249,388958,22131130,5147125,70701,46900,9531452,42798,3%
2014,ALASKA AIR GROUP INCORPORATED,United States,Air transport (62),26.72%,150.02%,1434161213,1403361079,336408,18451472,4272392,60210,229891,7512271,62510,5%
2014,GOL LINHAS AEREAS INTELIGENTES S.A.,Brazil,Air transport (62),30.45%,704.40%,1153981762,1129157687,270772,14781747,3447060,101551,201161,6060988,39204,4%
2014,SAS AB,Sweden,Air transport (62),16.50%,2837.30%,800403771,782237344,340794,11041174,2572978,51805,  ,4669835,510159,1%
2014,CONTROLADORA VUELA COMPANIA DE AVIACION SA DE CV,Mexico,Air transport (62),36.93%,2848.05%,351704845,343903750,99722,4654595,1088550,16823,0,2008138,66733,14%
2014,"AIR PRODUCTS AND CHEMICALS,INC.",United States,Chemicals nec,92.97%,605.19%,9705497907,8448743591,1945291,112315039,26329740,353035,511763,1115337045,37597,11%
2014,AIR LIQUIDE,France,Chemicals nec,38.78%,247.62%,7209101420,6984122299,1646420,92715777,21743317,294326,687369,107978892,86980,0%
2014,LINDE PLC,United Kingdom,Chemicals nec,52.03%,235.21%,6385836460,6208967039,1436046,82587592,19356451,260257,233380,73045448,49754,0%
2014,KIMBERLYCLARK CORPORATION,United States,Chemicals nec,10.73%,83.97%,2116811935,1489929078,364402,20122868,4528056,63886,966953,600911351,74658,4%
2014,PROCTER & GAMBLE CO,United States,Chemicals nec,2.20%,11.35%,1823237722,1353231145,508551,18795282,3648071,67930,4072046,443284189,369493,13%
2014,TOKUYAMA CORPORATION,Japan,Chemicals nec,67.23%,953.04%,1611065800,1546158507,445431,20932285,4867830,74809,281437,38585138,279638,1%
2014,SHINETSU CHEMICAL CO LIMITED,Japan,Chemicals nec,14.90%,99.92%,1448268923,1401244964,320554,18820489,4265357,58265,1141910,22439065,21680,5%
2014,KONINKLIJKE DSM N.V.,Netherlands,Chemicals nec,12.38%,206.26%,1375458840,1291906237,304724,17127850,3973174,54690,1187977,60937493,33305,2%
2014,AKZO NOBEL N.V.,Netherlands,Chemicals nec,7.70%,102.65%,1331739785,1184029201,299215,15393517,3585536,50122,1849833,126552307,19945,4%
2014,WACKER CHEMIE AG,Germany,Chemicals nec,20.96%,502.03%,1224299395,747852232,220972,9545414,2246434,33291,1767651,462675385,41983,2%
2014,TAIYO NIPPON SANSO CORPORATION,Japan,Chemicals nec,23.94%,395.00%,1043847842,1020811265,246550,13621709,3131495,43201,512026,5506494,24896,2%
2014,UNILEVER PLC,United Kingdom,Chemicals nec,1.27%,8.75%,596326555,546534898,167602,7640116,1471679,23981,894260,39657855,63835,4%
2014,AIR WATER INCORPORATED,Japan,Chemicals nec,9.30%,169.97%,497207046,472784005,124194,6343394,1411040,20553,628105,15926296,30540,4%
2014,"PPG INDUSTRIES,INC.",United States,Chemicals nec,2.87%,28.84%,440081755,426756067,171255,5808701,1340198,25739,753011,5438650,211867,5%
2014,NIPPON SHOKUBAI COMPANY LIMITED,Japan,Chemicals nec,13.78%,311.31%,347242696,334902059,74672,4497083,1016183,13721,295940,6443438,400,5%
2014,KAO CORP,Japan,Chemicals nec,2.96%,31.15%,346231509,327672149,78400,4128231,966959,13731,1372961,12003499,4421,10%
2014,CLARIANT AG,Switzerland,Chemicals nec,5.46%,65.49%,336178036,268439364,71644,3573523,836550,12162,6075,63264190,25471,1%
2014,KIMBERLYCLARK DE MEXICO S.A.B. DE C.V.,Mexico,Chemicals nec,15.01%,74.45%,296540835,249723936,54974,3289122,729817,10066,619811,42111789,1319,10%
2014,W. R. GRACE & CO,United States,Chemicals nec,8.98%,64.87%,291213558,208776244,55517,2807801,628670,9143,158985,78791625,14426,4%
2014,COLGATEPALMOLIVE CO.,United States,Chemicals nec,1.56%,6.45%,269894014,212205067,49163,2648065,619720,8594,846991,53511369,5044,9%
2014,ALBEMARLE CORPORATION,United States,Chemicals nec,10.14%,75.75%,248005881,259210266,71041,3448245,788146,11413,119891,15627021,16100,4%
2014,ECOLAB INC.,United States,Chemicals nec,1.61%,11.29%,230028642,197704594,57454,2919042,542800,9786,700090,28158402,63525,7%
2014,HITACHI CHEMICAL CO LTD,Japan,Chemicals nec,5.53%,102.47%,227560221,220433731,49385,2857179,664115,8958,483640,3059030,4184,5%
2014,JSR CORPORATION,Japan,Chemicals nec,6.28%,69.26%,206439877,175443171,52545,2269738,525199,8067,386223,27773714,18779,10%
2014,AECI LIMITED,South Africa,Chemicals nec,13.74%,145.51%,200900196,177751354,50108,2280178,521364,7593,519069,19774287,3757,4%
2014,NITTO DENKO CORPORATION,Japan,Chemicals nec,3.14%,32.65%,196248320,190163947,67743,2384914,555501,9423,734457,2368046,35711,17%
2014,JOHNSON MATTHEY PUBLIC LIMITED COMPANY,United Kingdom,Chemicals nec,0.76%,18.78%,132091639,127165060,32385,1613116,375427,5539,330765,2577004,7658,11%
2014,AFRICAN OXYGEN LTD,South Africa,Chemicals nec,24.81%,331.24%,125224456,117740306,30190,1536964,355775,4968,179155,5378395,1297,3%
2013,THOMSON REUTERS CORP,Canada,Activities auxiliary to financial intermediation (67),1.03%,7.86%,135025118,123298061,32033,1653329,387337,5576,357660,9302837,11715,2%
2013,INTERTEK GROUP PLC,United Kingdom,Activities auxiliary to financial intermediation (67),1.84%,12.53%,66407989,64965082,15027,863907,202532,2720,2981,356138,398,1%
2013,TELEPERFORMANCE SE,France,Activities auxiliary to financial intermediation (67),1.02%,13.25%,34316166,30092517,7060,400490,93836,1273,1895,3719635,540,1%
2013,ZURICH INSURANCE GROUP LIMITED,Switzerland,Activities auxiliary to financial intermediation (67),0.05%,0.50%,34130848,30795729,8306,402831,92996,1434,27183,2806821,4452,2%
2013,ADECCO GROUP AG,Switzerland,Activities auxiliary to financial intermediation (67),0.09%,2.14%,29469757,28280176,7094,372771,86678,1252,13489,710506,2209,3%
2013,CAPITA PLC,United Kingdom,Activities auxiliary to financial intermediation (67),0.42%,4.26%,26864377,26277259,6309,349291,81875,1121,5255,143969,701,3%
2013,RELX PLC,United Kingdom,Activities auxiliary to financial intermediation (67),0.24%,1.08%,24022471,22652071,5650,300970,70538,986,8235,985119,1099,3%
2013,BUREAU VERITAS SA,France,Activities auxiliary to financial intermediation (67),0.44%,3.01%,23739427,23221614,5599,309276,72416,999,3063,127333,872,3%
2013,RANDSTAD NV,Netherlands,Activities auxiliary to financial intermediation (67),0.10%,4.07%,21821122,21298880,6251,279642,64864,1042,20907,153862,4328,11%
2013,S&P GLOBAL INC,United States,Activities auxiliary to financial intermediation (67),0.38%,1.33%,18746506,18259972,4724,242977,56876,821,3345,179427,1635,7%
2013,STANTEC INCORPORATED,Canada,Activities auxiliary to financial intermediation (67),0.78%,7.10%,13370388,11925748,3231,160381,37564,555,46937,1197510,1537,3%
